model,validation_qini,test_qini,test_auuc,test_uplift_at_10pct,test_uplift_at_30pct,train_rows,validation_rows,test_rows
x_learner,0.001093266844571164,0.0008120568707895422,0.08887956906033023,0.12853051332892707,0.07216530180064387,25567,8523,8523
t_learner,0.0004184765303932547,0.0015268283628323256,0.0898027138581013,0.11444074281756111,0.08953541014095537,25567,8523,8523
s_learner,0.00023869663817365272,-0.000621214476901911,0.07680851842910177,0.09660798626019751,0.07858841984958873,25567,8523,8523
