targeted_fraction,targeted_users,estimated_incremental_outcomes,gross_value,contact_cost,estimated_net_value,value_per_incremental_outcome,cost_per_contact,evaluation_split,selected_on_validation
0.49,4177,339.8315194030612,1699.1575970153058,2088.5,-389.3424029846942,5.0,0.5,validation,False
0.5,4262,349.8289382899545,1749.1446914497726,2131.0,-381.8553085502274,5.0,0.5,validation,False
0.51,4347,355.8268264401046,1779.1341322005228,2173.5,-394.3658677994772,5.0,0.5,validation,False
0.52,4432,379.8226029055994,1899.1130145279972,2216.0,-316.88698547200283,5.0,0.5,validation,False
0.53,4518,389.820960429136,1949.10480214568,2259.0,-309.89519785432003,5.0,0.5,validation,False
0.54,4603,391.81837920589953,1959.0918960294975,2301.5,-342.40810397050245,5.0,0.5,validation,False
0.55,4688,399.81603272442123,1999.0801636221063,2344.0,-344.9198363778937,5.0,0.5,validation,False
0.56,4773,407.81368624294294,2039.0684312147146,2386.5,-347.43156878528544,5.0,0.5,validation,False
0.5700000000000001,4859,413.81251302973624,2069.062565148681,2429.5,-360.4374348513188,5.0,0.5,validation,False
0.5800000000000001,4944,421.8092279116147,2109.0461395580733,2472.0,-362.95386044192674,5.0,0.5,validation,False
0.59,5029,417.8068812649417,2089.0344063247085,2514.5,-425.46559367529153,5.0,0.5,validation,False
0.6,5114,419.80242276841875,2099.0121138420936,2557.0,-457.98788615790636,5.0,0.5,validation,False
0.61,5200,427.8005456052621,2139.0027280263103,2600.0,-460.99727197368975,5.0,0.5,validation,False
0.62,5285,423.7991375952323,2118.9956879761617,2642.5,-523.5043120238383,5.0,0.5,validation,False
0.63,5370,427.7967910586891,2138.9839552934454,2685.0,-546.0160447065546,5.0,0.5,validation,False
0.64,5455,441.79374068232573,2208.9687034116287,2727.5,-518.5312965883713,5.0,0.5,validation,False
0.65,5540,427.7916285571513,2138.9581427857565,2770.0,-631.0418572142435,5.0,0.5,validation,False
0.66,5626,433.78951670730135,2168.9475835365065,2813.0,-644.0524164634935,5.0,0.5,validation,False
0.67,5711,439.78834349409465,2198.941717470473,2855.5,-656.5582825295269,5.0,0.5,validation,False
0.68,5796,457.7857624911178,2288.9288124555887,2898.0,-609.0711875444113,5.0,0.5,validation,False
0.6900000000000001,5881,455.78411984945967,2278.9205992472985,2940.5,-661.5794007527015,5.0,0.5,validation,False
