targeted_fraction,qini,random_baseline,model
0.00011732957878681215,0.0,0.03826191342574675,s_learner
0.0002346591575736243,0.0,0.0765238268514935,s_learner
0.00035198873636043646,0.0,0.11478574027724026,s_learner
0.0004693183151472486,0.0,0.153047653702987,s_learner
0.0005866478939340608,-0.5,0.1913095671287338,s_learner
0.0007039774727208729,-0.4,0.2295714805544805,s_learner
0.0008213070515076851,0.19999999999999996,0.26783339398022726,s_learner
0.0009386366302944972,0.33333333333333337,0.306095307405974,s_learner
0.0010559662090813093,0.4285714285714286,0.34435722083172077,s_learner
0.0011732957878681216,0.5,0.3826191342574676,s_learner
0.0012906253666549337,1.25,0.42088104768321427,s_learner
0.0014079549454417458,1.0,0.459142961108961,s_learner
0.001525284524228558,1.1111111111111112,0.4974048745347078,s_learner
0.0016426141030153702,0.7999999999999998,0.5356667879604545,s_learner
0.0017599436818021823,0.9090909090909092,0.5739287013862013,s_learner
0.0018772732605889944,1.0,0.612190614811948,s_learner
0.0019946028393758065,0.75,0.6504525282376947,s_learner
0.0021119324181626186,0.846153846153846,0.6887144416634415,s_learner
0.0022292619969494307,0.6153846153846154,0.7269763550891882,s_learner
0.0023465915757362433,0.2857142857142858,0.7652382685149351,s_learner
0.0024639211545230554,0.0,0.8035001819406818,s_learner
0.0025812507333098675,0.1333333333333333,0.8417620953664285,s_learner
0.0026985803120966796,-0.1333333333333333,0.8800240087921753,s_learner
0.0028159098908834917,0.0,0.918285922217922,s_learner
0.0029332394696703038,0.11764705882352944,0.9565478356436687,s_learner
0.003050569048457116,0.22222222222222232,0.9948097490694155,s_learner
0.0031678986272439284,0.3157894736842106,1.0330716624951624,s_learner
0.0032852282060307405,0.10526315789473695,1.071333575920909,s_learner
0.0034025577848175526,0.19999999999999996,1.1095954893466558,s_learner
0.0035198873636043647,0.2857142857142858,1.1478574027724027,s_learner
0.003637216942391177,0.09523809523809534,1.1861193161981494,s_learner
0.003754546521177989,-0.09523809523809534,1.224381229623896,s_learner
0.003871876099964801,0.0,1.2626431430496428,s_learner
0.003989205678751613,0.8181818181818183,1.3009050564753895,s_learner
0.004106535257538425,0.9130434782608696,1.3391669699011362,s_learner
0.004223864836325237,0.7391304347826089,1.377428883326883,s_learner
0.004341194415112049,1.5652173913043477,1.4156907967526298,s_learner
0.0044585239938988615,1.391304347826087,1.4539527101783765,s_learner
0.0045758535726856744,1.5,1.4922146236041234,s_learner
0.0046931831514724865,1.6,1.5304765370298703,s_learner
0.004810512730259299,1.6923076923076925,1.568738450455617,s_learner
0.004927842309046111,1.7777777777777777,1.6070003638813637,s_learner
0.005045171887832923,1.6296296296296298,1.6452622773071104,s_learner
0.005162501466619735,1.7142857142857144,1.683524190732857,s_learner
0.005279831045406547,1.793103448275862,1.7217861041586038,s_learner
0.005397160624193359,1.8666666666666667,1.7600480175843507,s_learner
0.005514490202980171,1.7333333333333334,1.7983099310100974,s_learner
0.005631819781766983,1.2580645161290325,1.836571844435844,s_learner
0.005749149360553795,1.34375,1.8748337578615908,s_learner
0.0058664789393406075,1.4242424242424243,1.9130956712873375,s_learner
0.00598380851812742,1.5,1.9513575847130842,s_learner
0.006101138096914232,1.0857142857142859,1.989619498138831,s_learner
0.006218467675701044,1.9142857142857146,2.027881411564578,s_learner
0.006335797254487857,2.742857142857143,2.0661433249903247,s_learner
0.006453126833274669,2.5714285714285716,2.1044052384160716,s_learner
0.006570456412061481,2.4000000000000004,2.142667151841818,s_learner
0.006687785990848293,3.2285714285714286,2.180929065267565,s_learner
0.006805115569635105,3.333333333333333,2.2191909786933115,s_learner
0.006922445148421917,3.4324324324324325,2.2574528921190584,s_learner
0.007039774727208729,3.526315789473684,2.2957148055448053,s_learner
0.0071571043059955415,3.3684210526315788,2.333976718970552,s_learner
0.007274433884782354,3.4615384615384617,2.3722386323962987,s_learner
0.007391763463569166,3.3076923076923075,2.410500545822045,s_learner
0.007509093042355978,3.4000000000000004,2.448762459247792,s_learner
0.00762642262114279,3.487804878048781,2.487024372673539,s_learner
0.007743752199929602,3.3414634146341466,2.5252862860992855,s_learner
0.007861081778716415,3.1951219512195124,2.5635481995250324,s_learner
0.007978411357503226,3.048780487804878,2.601810112950779,s_learner
0.008095740936290039,3.1428571428571423,2.6400720263765263,s_learner
0.00821307051507685,3.0,2.6783339398022723,s_learner
0.008330400093863663,3.093023255813953,2.7165958532280197,s_learner
0.008447729672650475,2.953488372093023,2.754857766653766,s_learner
0.008565059251437288,3.045454545454546,2.793119680079513,s_learner
0.008682388830224099,2.909090909090909,2.8313815935052595,s_learner
0.008799718409010912,2.7727272727272725,2.8696435069310064,s_learner
0.008917047987797723,2.6363636363636367,2.907905420356753,s_learner
0.009034377566584536,2.7333333333333334,2.9461673337825,s_learner
0.009151707145371349,2.8260869565217392,2.9844292472082468,s_learner
0.00926903672415816,2.695652173913044,3.0226911606339932,s_learner
0.009386366302944973,2.787234042553191,3.0609530740597406,s_learner
0.009503695881731784,2.659574468085106,3.099214987485487,s_learner
0.009621025460518597,3.5319148936170217,3.137476900911234,s_learner
0.009738355039305409,3.625,3.1757388143369805,s_learner
0.009855684618092221,3.5,3.2140007277627274,s_learner
0.009973014196879033,2.8571428571428568,3.252262641188474,s_learner
0.010090343775665846,3.7142857142857144,3.2905245546142208,s_learner
0.010207673354452657,4.571428571428571,3.3287864680399673,s_learner
0.01032500293323947,4.68,3.367048381465714,s_learner
0.010442332512026281,5.54,3.4053102948914606,s_learner
0.010559662090813094,5.3999999999999995,3.4435722083172076,s_learner
0.010676991669599905,5.260000000000001,3.481834121742954,s_learner
0.010794321248386718,6.12,3.5200960351687014,s_learner
0.010911650827173531,5.98,3.5583579485944483,s_learner
0.011028980405960342,6.098039215686274,3.596619862020195,s_learner
0.011146309984747155,5.96078431372549,3.6348817754459417,s_learner
0.011263639563533967,6.076923076923077,3.673143688871688,s_learner
0.01138096914232078,5.942307692307692,3.711405602297435,s_learner
0.01149829872110759,5.807692307692308,3.7496675157231816,s_learner
0.011615628299894404,5.9245283018867925,3.7879294291489285,s_learner
0.011732957878681215,5.7924528301886795,3.826191342574675,s_learner
0.011850287457468028,5.907407407407407,3.8644532560004223,s_learner
0.01196761703625484,5.777777777777779,3.9027151694261684,s_learner
0.012084946615041652,6.648148148148148,3.9409770828519157,s_learner
0.012202276193828463,6.518518518518518,3.979238996277662,s_learner
0.012319605772615276,6.388888888888889,4.017500909703409,s_learner
0.012436935351402088,7.2592592592592595,4.055762823129156,s_learner
0.0125542649301889,7.12962962962963,4.0940247365549025,s_learner
0.012671594508975714,6.290909090909091,4.132286649980649,s_learner
0.012788924087762525,6.428571428571429,4.170548563406396,s_learner
0.012906253666549338,6.285714285714286,4.208810476832143,s_learner
