method,comparison,n_treatment,n_control,adjusted_lift,variance_reduction,statistic,p_value,standard_error,ci_low,ci_high,reject_h0
single_prior_spend,mens_email_vs_control,21307,21306,0.7673357755525776,0.00047214944726370334,5.2841316256976265,1.2702271567825264e-07,0.14521511383647107,0.482709989607484,1.0519615614976712,True
single_prior_spend,womens_email_vs_control,21387,21306,0.42230258560577294,0.00047214944726370334,3.240763176858426,0.0011930745345922393,0.13030960997747149,0.1668927281130479,0.677712443098498,True
multi_spend_recency,mens_email_vs_control,21307,21306,0.7688678935180057,0.0006007505202955121,5.29505420240024,1.1966512265471e-07,0.14520491464836735,0.48426209817353316,1.053473688862478,True
multi_spend_recency,womens_email_vs_control,21387,21306,0.42349342442828275,0.0006007505202955121,3.2501153747183626,0.001154533400566133,0.13030104337910786,0.16810035757124597,0.6788864912853195,True
