comparison,outcome,baseline_rate,n_per_arm,alpha,target_power,detectable_rate,mde_absolute,mde_relative
mens_email_vs_control,visit_rate,0.10616727682343002,21306,0.05,0.8,0.11467286887841066,0.008505592054980637,0.0801150063321916
mens_email_vs_control,conversion_rate,0.005726086548390125,21306,0.05,0.8,0.00795597642927237,0.0022298898808822444,0.3894265065744025
womens_email_vs_control,visit_rate,0.10616727682343002,21306,0.05,0.8,0.11467286887841066,0.008505592054980637,0.0801150063321916
womens_email_vs_control,conversion_rate,0.005726086548390125,21306,0.05,0.8,0.00795597642927237,0.0022298898808822444,0.3894265065744025
